Mouvement,Gender,Index,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc
1,1,1,1.08667,1.07758,1.05894,1.03091,1.00492,0.987735,0.973831,0.967841,0.978143,1.00047,1.02791,1.05518,1.08238,1.11212,1.13638,1.14541,1.1453,1.14193,1.13438,1.12896,1.12625,1.12671,1.12742,1.1281,1.12738,1.12011,1.1107,1.10264,1.0995,1.10066,1.09833,1.09758,1.09712,1.09711,1.09849,1.09925,1.09692,1.08922,1.07488,1.05112,1.0229,1.00207,0.987767,0.978767,0.981682,0.995981,1.01744,1.04517,1.07773,1.11177,1.1365,1.14549,1.14507,1.13948,1.13137,1.12762,1.1294,1.12838,1.12897,1.13156
1,0,2,1.00131,1.00038,0.996538,0.992256,0.990148,0.988614,0.986271,0.985483,0.987238,0.990733,0.9938,0.995168,0.997447,1.00098,1.00235,1.00097,1.00015,0.999305,0.997374,0.997033,0.99852,1.00041,1.00193,1.00296,1.00309,1.00225,1.00241,1.0028,1.0026,1.00186,1.00067,0.998545,0.995055,0.992577,0.989531,0.985123,0.981395,0.983349,0.986836,0.990707,0.993448,0.993986,0.992245,0.990069,0.989612,0.98974,0.989565,0.990181,0.99201,0.994263,0.99653,0.997567,0.997616,0.999718,1.00177,1.00308,1.00343,1.00277,1.00167,0.999775
1,1,3,1.54463,1.51983,1.50916,1.51554,1.52205,1.51966,1.4988,1.46097,1.3979,1.32108,1.25071,1.19859,1.16746,1.16254,1.17513,1.19537,1.22221,1.2527,1.28547,1.32514,1.37453,1.4249,1.45537,1.47127,1.48544,1.50587,1.54124,1.56092,1.536,1.5319,1.53204,1.51126,1.51794,1.52315,1.52856,1.53003,1.52874,1.52428,1.51779,1.51341,1.50902,1.48993,1.45103,1.39358,1.32116,1.24098,1.17561,1.142,1.13289,1.13771,1.15379,1.19035,1.23587,1.26726,1.29782,1.34387,1.38963,1.42409,1.45017,1.47246
1,1,4,1.57198,1.59724,1.62454,1.64808,1.6576,1.65016,1.63555,1.62066,1.61086,1.60165,1.58717,1.56836,1.5471,1.53009,1.51687,1.50489,1.49431,1.48929,1.49195,1.50226,1.51871,1.54029,1.55825,1.57141,1.57723,1.57373,1.56835,1.57127,1.58606,1.59026,1.58216,1.56975,1.55583,1.54301,1.53271,1.52689,1.52798,1.53795,1.5567,1.58053,1.60398,1.61913,1.62282,1.62965,1.64276,1.65339,1.65893,1.64593,1.63376,1.63522,1.63863,1.63481,1.63518,1.63841,1.63824,1.64508,1.65237,1.66083,1.66506,1.66262
1,1,5,1.52268,1.48526,1.43271,1.37455,1.32965,1.30365,1.29281,1.30241,1.32217,1.35118,1.39085,1.44089,1.4923,1.53267,1.55937,1.57536,1.58826,1.60142,1.61053,1.61601,1.62124,1.61036,1.59903,1.58739,1.56443,1.54173,1.52996,1.52616,1.51224,1.47985,1.43336,1.37678,1.32676,1.29751,1.28279,1.28956,1.30899,1.34015,1.37915,1.42486,1.47071,1.50932,1.54405,1.58302,1.61392,1.62744,1.62625,1.61631,1.60253,1.58863,1.57675,1.56065,1.54608,1.54438,1.55368,1.56745,1.56395,1.53343,1.48396,1.42476
1,1,6,1.63461,1.62798,1.61758,1.60452,1.60032,1.61,1.62543,1.63976,1.66609,1.69224,1.67731,1.64176,1.63206,1.64592,1.65528,1.66434,1.67479,1.68153,1.68202,1.67716,1.66965,1.66185,1.65134,1.64772,1.65809,1.67608,1.69853,1.70501,1.68491,1.63937,1.58357,1.52875,1.49405,1.4666,1.43576,1.40342,1.37086,1.34803,1.33895,1.34437,1.3596,1.38005,1.40802,1.44502,1.48556,1.52339,1.55155,1.56403,1.57462,1.5904,1.61066,1.63248,1.65639,1.68465,1.70595,1.71824,1.69582,1.62717,1.61542,1.61883
1,1,7,1.72095,1.71741,1.6896,1.63044,1.55459,1.4725,1.42104,1.38016,1.3361,1.31427,1.30063,1.30378,1.34296,1.39603,1.45367,1.50559,1.55457,1.60754,1.66228,1.72589,1.75777,1.75639,1.71363,1.67759,1.70134,1.73493,1.75959,1.77176,1.77028,1.76313,1.75117,1.73473,1.71594,1.69785,1.68123,1.6652,1.64785,1.62495,1.59327,1.55307,1.51535,1.50037,1.50081,1.50722,1.51345,1.52561,1.5446,1.57739,1.59591,1.59971,1.60169,1.60332,1.59811,1.59196,1.58598,1.57476,1.56493,1.56093,1.55284,1.53722
1,0,8,1.4816,1.48731,1.49829,1.51328,1.52808,1.52652,1.53117,1.54327,1.55122,1.5611,1.5789,1.59555,1.6066,1.61234,1.61828,1.62568,1.63025,1.62989,1.62617,1.62167,1.61768,1.61361,1.6076,1.59777,1.58247,1.56045,1.52859,1.48638,1.43688,1.3824,1.32729,1.27196,1.22621,1.24484,1.2825,1.32321,1.36463,1.40527,1.44878,1.49348,1.52545,1.54096,1.55155,1.56697,1.58609,1.60469,1.62082,1.62802,1.63222,1.63203,1.62601,1.61321,1.60417,1.6036,1.61115,1.62514,1.64087
1,1,9,1.7018,1.71097,1.70617,1.69621,1.68415,1.67116,1.66262,1.66334,1.66808,1.6689,1.66902,1.66883,1.66986,1.65186,1.60696,1.5894,1.57978,1.55991,1.54845,1.5868,1.62252,1.63567,1.64092,1.64379,1.64977,1.65501,1.65363,1.64452,1.62534,1.60032,1.57672,1.55838,1.5449,1.53504,1.53542,1.54502,1.56091,1.58443,1.6113,1.62893,1.63066,1.6197,1.60577,1.60108,1.60304,1.60425,1.6063,1.60641,1.60618,1.60704,1.60802,1.60971,1.61354,1.6175,1.62096,1.62242,1.6197,1.61107,1.59718,1.58331
1,0,10,1.64531,1.64937,1.65771,1.66824,1.67932,1.69103,1.7046,1.72085,1.73857,1.75433,1.7661,1.77249,1.77602,1.77809,1.78104,1.78727,1.7909,1.78693,1.7819,1.78407,1.78695,1.78907,1.78528,1.77632,1.77211,1.77648,1.78775,1.80231,1.81209,1.8152,1.8128,1.80644,1.79841,1.79037,1.78416,1.77992,1.77695,1.77462,1.77327,1.77191,1.77027,1.76783,1.76624,1.76712,1.7703,1.77641,1.7825,1.78346,1.78029,1.77353,1.76331,1.74977,1.73593,1.72606,1.71935,1.71483,1.71318,1.71497,1.71952,1.72588
