Mouvement,Gender,Index,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc
1,0,2,0.732279,0.725243,0.717891,0.707642,0.695364,0.698161,0.718922,0.732287,0.732097,0.725028,0.727233,0.724518,0.705831,0.685731,0.675851,0.672332,0.668849,0.669884,0.673335,0.669876,0.66937,0.67603,0.688502,0.704977,0.728705,0.76206,0.796944,0.825894,0.848758,0.871558,0.887984,0.887819,0.872534,0.847254,0.81849,0.791846,0.773672,0.764221,0.759845,0.752304,0.735772,0.713884,0.701798,0.70195,0.706759,0.718444,0.730291,0.728389,0.71989,0.718419,0.709715,0.688367,0.662451,0.64078,0.627427,0.619967,0.618079,0.624801,0.628323,0.629835,0.635803,0.642537,0.655114,0.677874,0.704508,0.732923,0.758058,0.780847,0.801028,0.808735,0.804201,0.792078,0.772706,0.749849,0.730154,0.717377,0.709231,0.702111,0.694581,0.686057,0.677477,0.669584,0.662579,0.655927,0.65379,0.66462,0.677332,0.679692,0.66683,0.64889,0.640907,0.627786,0.614079,0.600234,0.581037,0.55875,0.538819,0.527975,0.525948,0.526993,0.528252,0.528244,0.52756,0.527257,0.524925,0.520804,0.51218,0.505426,0.508728,0.515726,0.51362,0.499351,0.480527,0.458513,0.425602,0.382436,0.340436,0.311373,0.28297,0.252686,0.221063,0.199479,0.20609,0.220541,0.235176,0.238029,0.251121,0.212912,0.169252,0.170591,0.199717,0.250334,0.295726,0.337755,0.389295,0.44065,0.481781,0.517152,0.552909,0.58758,0.620137,0.656337,0.697129,0.735568,0.767469,0.797458,0.830062,0.871607,0.904429,0.924364,0.937169,0.947215,0.951543,0.95638,0.970931,0.989645,1.00438,1.01303,1.02233,1.04142,1.07443,1.11702,1.16831,1.2228,1.27054,1.31073,1.34254,1.36839,1.39173,1.41128,1.42979,1.44933,1.47026,1.49472,1.52703,1.56474,1.59478,1.61541,1.62517,1.64101
1,1,3,1.69879,1.65588,1.6109,1.59315,1.58855,1.55481,1.47746,1.37726,1.27534,1.1947,1.13575,1.07581,1.01585,0.980115,0.963229,0.954371,0.953407,0.957677,0.966079,0.976563,0.988977,1.00275,1.01505,1.02449,1.03226,1.03866,1.04071,1.03863,1.02974,1.01652,0.999639,0.974823,0.947506,0.944243,0.962059,0.985328,1.01788,1.0606,1.09752,1.13286,1.1712,1.2052,1.22877,1.24465,1.25345,1.25268,1.24205,1.22218,1.19312,1.15841,1.12901,1.11562,1.1167,1.13176,1.16318,1.19884,1.21495,1.21003,1.19964,1.19654,1.20425,1.19454,1.16747,1.13061,1.08611,1.06252,1.05727,1.04373,1.01659,0.987802,0.9651,0.949446,0.937841,0.928885,0.923325,0.921033,0.92101,0.923996,0.930159,0.938292,0.946914,0.955104,0.961867,0.969304,0.972641,0.971612,0.965222,0.955168,0.939532,0.919783,0.907599,0.91486,0.93719,0.967023,1.00161,1.0435,1.08591,1.12936,1.17578,1.2253,1.27653,1.32652,1.37417,1.41737,1.454,1.48221,1.50086,1.50902,1.51022,1.50809,1.5036,1.49663,1.4916,1.4947,1.51581,1.55633,1.60253,1.64629,1.68228,1.70293,1.70764,1.71252,1.73478,1.77484,1.80858,1.81551,1.81688,1.81232,1.82534,1.85956,1.87249,1.86463,1.84809,1.83216,1.81848,1.8111,1.80941,1.81411,1.82913,1.8499,1.87453,1.89239,1.90267,1.9151,1.92975,1.94208,1.95063,1.975,2.03829,2.1267,2.21702,2.28622,2.3325,2.37121,2.39149,2.39014,2.3709,2.33432,2.2819,2.21904,2.14697,2.06378,1.98509,1.93282,1.90254,1.87137,1.84507,1.8426,1.8708,1.91432,1.94004,1.9683,2.02227,2.03858,2.07921,2.09915,2.08245,2.07009,2.07217,2.07656
1,0,8,2.63969,2.70122,2.82048,2.83349,2.74633,2.7673,2.80714,2.84779,2.9726,3.20192,3.06309,2.54655,2.13437,1.91976,1.78055,1.6454,1.51624,1.40259,1.27915,1.13523,1.01794,1.00777,1.19783,1.73376,2.02796,2.12795,2.11017,2.09061,2.10471,2.1291,2.14112,2.16066,2.19983,2.23588,2.26728,2.29552,2.31888,2.34133,2.36176,2.38894,2.44006,2.5069,2.59093,2.59675,2.5615,2.54061,2.56983,2.59784,2.5472,2.51024,2.50672,2.50265,2.53592,2.61864,2.65898,2.66113,2.66675,2.70777,2.82318,2.9892,3.13655,3.2682,3.19221,3.08868,2.9698,2.71002,2.25337,1.82886,1.60064,1.49554,1.5192,1.67782,2.00266,2.90089,2.88558,2.63194,2.49589,2.39009,2.31358,2.26215,2.22325,2.18348,2.13936,2.09759,2.06713,2.04742,2.03938,2.04037,2.04235,2.04118,2.03738,2.0363,2.04683,2.08669,2.15495,2.22661,2.27013,2.27873,2.29377,2.31499,2.33379,2.3393,2.3474,2.36187,2.36446,2.37619,2.41701,2.43942,2.46546,2.49931,2.52399,2.53952,2.55646,2.57364,2.59725,2.63572,2.68797,2.73338,2.77225,2.82076,2.8666,2.89353,2.89485,2.89421,2.89535,2.87384,2.78468,2.5919,2.32052,2.04613,1.81574,1.64438,1.52625,1.4454,1.38409,1.32703,1.27315,1.229,1.19743,1.17696,1.16271,1.15308,1.14443,1.13479,1.12549,1.11969,1.11917,1.12679,1.1437,1.16368,1.17461,1.17039,1.16194,1.15623,1.16089,1.16934,1.16201,1.15007,1.14471,1.15019,1.16883,1.20482,1.23222,1.23966,1.23363,1.22418,1.22188,1.23212,1.25086,1.283,1.33749,1.40072,1.45294,1.49572,1.52865,1.5551,1.59753,1.64607,1.7224,1.7912
1,1,9,3.09633,3.06564,3.07907,3.11537,3.1207,3.03282,2.82509,2.4895,2.23121,2.14461,2.08065,1.81335,1.60699,1.49625,1.37993,1.2722,1.19729,1.14431,1.10643,1.07638,1.05608,1.04557,1.03571,1.02573,1.0183,1.01981,1.02731,1.0303,1.02917,1.03793,1.08309,1.18543,1.37375,1.64205,1.96071,2.13361,2.17758,2.22204,2.27074,2.32866,2.37317,2.42276,2.4785,2.52319,2.55177,2.56431,2.5603,2.53999,2.50587,2.45857,2.39817,2.3487,2.38602,2.43261,2.4731,2.50736,2.51875,2.49464,2.51607,2.49712,2.40231,2.20131,1.93914,1.72712,1.60736,1.5247,1.29076,1.09705,1.04074,1.01714,1.00278,0.994916,0.990055,0.988755,0.990803,0.995226,1.0006,1.00736,1.01555,1.02563,1.03112,1.03128,1.03326,1.03987,1.05144,1.06373,1.06762,1.05212,1.016,0.983622,1.02351,1.17626,1.34676,1.40837,1.4364,1.48539,1.54832,1.5819,1.59839,1.61571,1.63696,1.6568,1.66668,1.6657,1.65713,1.64235,1.61989,1.59128,1.55927,1.53439,1.52838,1.55316,1.60167,1.63118,1.62472,1.58145,1.56047,1.57803,1.55554,1.4588,1.2783,1.10185,1.03127,1.00855,0.987417,0.984732,1.0242,1.0469,1.07159,1.10039,1.13684,1.18713,1.23702,1.28262,1.32687,1.37129,1.40369,1.42494,1.43894,1.44783,1.4569,1.45347,1.43094,1.40302,1.3661,1.2953,1.18404,1.04677,0.974728,1.01543,1.06594,1.09726,1.13015,1.17328,1.21829,1.26018,1.30443,1.3536,1.39828,1.43227,1.45753,1.47215,1.4712,1.44751,1.39603,1.33491,1.32875,1.36772,1.41941,1.47397,1.51553,1.52984,1.51779,1.50398,1.53091,1.54262,1.5207,1.4953,1.47036,1.41085
1,0,10,1.22412,1.19404,1.17933,1.17241,1.1646,1.15431,1.14765,1.14933,1.1602,1.17784,1.19623,1.21345,1.2313,1.24668,1.25875,1.26882,1.27564,1.27868,1.27563,1.26841,1.26414,1.26342,1.262,1.2524,1.23303,1.19971,1.16761,1.14697,1.13649,1.12757,1.11725,1.10951,1.1072,1.10909,1.11502,1.12331,1.13219,1.14184,1.15149,1.15973,1.16573,1.16905,1.16934,1.16493,1.15905,1.16394,1.17376,1.17951,1.18718,1.19217,1.1847,1.17387,1.17524,1.1968,1.2158,1.22482,1.2137,1.18826,1.17373,1.16334,1.15445,1.14345,1.1333,1.12754,1.12755,1.13298,1.14127,1.15138,1.16513,1.18025,1.19391,1.20424,1.20931,1.21104,1.20949,1.20801,1.21063,1.21448,1.21114,1.19859,1.17446,1.14887,1.13013,1.11391,1.10222,1.09684,1.09729,1.10271,1.11118,1.12065,1.13084,1.14192,1.15355,1.1637,1.17085,1.17529,1.1772,1.17496,1.17411,1.17991,1.18495,1.19043,1.19211,1.1853,1.17959,1.19091,1.21275,1.21466,1.19668,1.17381,1.16345,1.15893,1.15019,1.13769,1.12507,1.11945,1.12205,1.12747,1.13301,1.13824,1.14708,1.15825,1.16834,1.17679,1.18576,1.19407,1.19922,1.20227,1.20291,1.19533,1.1764,1.15096,1.12815,1.11499,1.10225,1.09093,1.08373,1.08154,1.08345,1.0886,1.09579,1.10534,1.1182,1.13342,1.1495,1.16611,1.18225,1.19461,1.20148,1.216,1.24176,1.27339,1.29838,1.29753,1.27484,1.25656,1.25994,1.26442,1.25088,1.22313,1.202,1.19959,1.19898,1.19265,1.1852,1.18292,1.19142,1.20617,1.2238,1.24445,1.26382,1.28011,1.29207,1.30215,1.30869,1.31373,1.31985,1.32622,1.33346,1.33906
1,0,11,0.964961,0.966323,0.969534,0.974307,0.980277,0.981977,0.979502,0.979765,0.978031,0.977817,0.978868,0.977089,0.976496,0.979278,0.985236,0.995414,1.01171,1.0337,1.05689,1.07561,1.09282,1.1133,1.12924,1.12841,1.11669,1.10363,1.0984,1.10978,1.13833,1.17223,1.19403,1.18425,1.14916,1.13682,1.18217,1.24514,1.26676,1.24142,1.22008,1.24872,1.31281,1.36456,1.37809,1.35378,1.31048,1.27774,1.27094,1.28627,1.30925,1.32462,1.3244,1.30964,1.28632,1.26919,1.25947,1.25298,1.2613,1.28781,1.3104,1.32645,1.34989,1.39094,1.42515,1.42676,1.38936,1.35206,1.33483,1.31299,1.25573,1.1682,1.08632,1.03983,1.02317,1.01934,1.01923,1.01767,1.014,1.00693,0.99777,0.991919,0.991405,0.996166,1.00583,1.0187,1.02895,1.03063,1.0228,1.01327,1.00819,1.00576,1.00688,1.00189,0.99107,0.983002,0.979501,0.978088,0.976901,0.973909,0.968156,0.962344,0.958859,0.958774,0.959738,0.957815,0.955851,0.962675,0.97475,0.978192,0.974035,0.971906,0.97392,0.978485,0.985766,0.994639,1.00261,1.01018,1.01933,1.02977,1.04241,1.05767,1.06861,1.07009,1.0668,1.06464,1.06628,1.07214,1.08308,1.08989,1.0861,1.0805,1.06792,1.05943,1.07161,1.08885,1.10293,1.11869,1.13015,1.13021,1.12033,1.11055,1.10335,1.09463,1.08213,1.06849,1.05974,1.06189,1.07492,1.09502,1.12308,1.15236,1.16899,1.17597,1.16606,1.15818,1.15932,1.18042,1.22088,1.26574,1.2986,1.30837,1.29663,1.27349,1.25398,1.25565,1.28587,1.33446,1.38933,1.43821,1.46744,1.46824,1.44054,1.39933,1.36407,1.34121,1.33145,1.32504,1.304,1.26281,1.23493,1.21534
1,1,12,2.99777,2.95642,3.01535,3.12301,3.19676,3.2233,3.1977,3.08027,2.84867,2.65347,2.5121,2.35492,2.20517,2.09394,2.02793,1.96537,1.8915,1.81365,1.72763,1.6346,1.56731,1.53258,1.52183,1.5235,1.52399,1.52504,1.53296,1.57602,1.68193,1.86407,2.11474,2.47128,2.86072,3.16146,3.1929,3.0457,2.99385,3.01981,3.09003,3.14051,3.14903,3.15506,3.17245,3.199,3.23787,3.29345,3.22497,3.18591,3.18221,3.17212,3.1396,3.11587,3.07814,3.03659,3.10125,3.14321,3.14193,3.14439,3.17576,3.20205,3.14413,3.00171,2.84478,2.66401,2.50243,2.37824,2.28912,2.2031,2.12512,2.03808,1.94834,1.86432,1.80034,1.76121,1.74723,1.75295,1.77343,1.82451,1.91523,2.03838,2.22955,2.47528,2.75701,3.01863,3.23679,3.14409,3.00916,2.93401,2.88792,2.88374,2.91349,2.94542,2.96152,2.98118,3.0156,3.06572,3.13432,3.22108,3.27934,3.26335,3.27313,3.25885,3.25113,3.26204,3.27706,3.20475,3.14079,3.12895,3.14751,3.16553,3.19947,3.23538,3.23592,3.16737,3.09342,3.02418,2.97877,2.94419,2.92304,2.89784,2.86655,2.84038,2.81594,2.80708,2.81435,2.83718,2.86583,2.90139,2.95496,3.05048,3.20096,3.18769,3.0122,2.83542,2.63593,2.41564,2.2304,2.12499,2.07074,2.04867,2.04164,2.02239,1.98842,1.96185,1.95049,1.95053,1.96275,1.98806,2.03,2.069,2.08565,2.09252,2.09085,2.08427,2.08939,2.10595,2.12529,2.08581,2.01713,1.99954,2.01667,2.01856,1.99529,1.97243,2.04288,2.1725,2.28519,2.40999,2.53693,2.64846,2.74182,2.7958,2.83916,2.89397,2.96563,3.04707,3.12581,3.18658,3.22126,3.23574
1,1,13,2.52022,2.47062,2.45476,2.49169,2.58843,2.72847,2.88422,3.02359,3.11456,3.17618,3.21977,3.26321,3.28639,3.27352,3.23653,3.17267,3.07478,2.95763,2.8425,2.7789,2.77082,2.7709,2.73437,2.6355,2.64509,2.59391,2.60936,2.62456,2.61119,2.55877,2.47521,2.379,2.26544,2.15162,2.04462,1.94886,1.88471,1.8622,1.89002,1.94898,2.05843,2.24287,2.51334,2.79743,3.02549,3.12381,3.15517,3.17707,3.19424,3.22803,3.2605,3.26733,3.25968,3.23913,3.20762,3.16718,3.11785,3.05562,2.97802,2.88469,2.78723,2.74,2.79518,2.88818,2.95716,2.86187,2.7446,2.74438,2.64485,2.56433,2.45007,2.2701,2.0925,1.91262,1.77304,1.66942,1.56933,1.47895,1.4233,1.38003,1.35968,1.35616,1.37461,1.46255,1.80698,2.46364,2.85295,3.09827,3.21894,3.27312,3.29129,3.27233,3.23022,3.17267,3.11273,3.06423,3.02852,3.00462,2.98743,2.97237,2.94954,2.9089,2.85383,2.80067,2.78225,2.81003,2.82464,2.80035,2.77975,2.77451,2.74185,2.72884,2.72212,2.70164,2.63462,2.54285,2.46093,2.38084,2.30649,2.24628,2.19977,2.1664,2.14124,2.10823,2.06836,2.01103,1.92711,1.83256,1.73452,1.64916,1.59282,1.56874,1.56819,1.57781,1.5867,1.61168,1.68133,1.89829,2.3299,2.73107,2.99516,3.17768,3.26947,3.18271,3.12626,3.09354,3.08194,3.08834,3.106,3.12889,3.15389,3.17773,3.20057,3.22459,3.25286,3.27597,3.2394,3.20444,3.17121,3.14196,3.1296,3.13218,3.10441,3.06164,3.01715,2.98161,2.95134,2.90978,2.88587,2.87618,2.86014,2.82332,2.76545,2.70779,2.66285,2.62861,2.60401,2.59128,2.58745,2.58399
1,1,14,1.40132,1.41989,1.44717,1.47817,1.50392,1.52213,1.53989,1.55282,1.56045,1.57109,1.57824,1.59361,1.63101,1.70847,1.92078,3.28888,2.37095,2.23271,2.17861,2.13036,2.06793,2.01027,1.96522,1.92063,1.87771,1.84061,1.80667,1.77272,1.73777,1.70469,1.67775,1.65679,1.63929,1.62427,1.61222,1.60293,1.5942,1.58441,1.57217,1.55773,1.54147,1.52507,1.51319,1.50632,1.49895,1.49116,1.48717,1.47831,1.4632,1.45403,1.44467,1.41395,1.36799,1.34676,1.38,1.39843,1.38466,1.34878,1.32671,1.32685,1.32028,1.31025,1.26302,1.20434,1.13188,1.065,1.02242,1.00488,0.997823,0.996878,0.998674,0.997872,0.998881,1.02141,1.08706,1.1846,1.27166,1.32547,1.33727,1.33733,1.36099,1.37867,1.38292,1.39068,1.40411,1.41333,1.40928,1.41345,1.41284,1.40561,1.39508,1.37558,1.35487,1.33803,1.32473,1.31191,1.30116,1.29509,1.29339,1.29111,1.28838,1.28846,1.29053,1.29332,1.29695,1.30222,1.30833,1.31208,1.31323,1.30879,1.29303,1.26294,1.22563,1.18789,1.15214,1.12837,1.11849,1.12192,1.13278,1.13365,1.13994,1.12522,1.10056,1.06527,1.05178,1.04206,1.03265,1.02427,1.00926,0.996684,1.02787,1.09102,1.11563,1.14476,1.16715,1.18192,1.1758,1.13234,1.07244,1.02036,0.99884,1.02781,1.07762,1.12057,1.14703,1.17725,1.19602,1.22186,1.24466,1.25978,1.25918,1.25542,1.27131,1.29065,1.29909,1.29533,1.28317,1.26717,1.2512,1.24482,1.24496,1.2454,1.24326,1.24217,1.24406,1.247,1.24915,1.25109,1.25323,1.25735,1.2642,1.27356,1.2819,1.27629,1.24477,1.19734,1.1575,1.1372,1.12325,1.11888
1,1,15,3.20309,3.17302,3.12678,3.07554,3.03384,2.99568,2.95651,2.9282,2.91846,2.93291,2.96381,2.99811,3.02279,3.01799,3.00105,2.98561,2.97577,2.96781,2.94566,2.91117,2.88862,2.87305,2.85405,2.82539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
