Mouvement,Gender,Index,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc
1,0,2,2.33989,1.71357,0.591065,0.558104,0.448592,0.991318,1.20268,0.500982,0.699492,0.63349,0.304244,0.509639,1.14478,0.991595,0.687282,0.482421,0.538306,0.537852,0.315045,0.270563,0.262983,0.647029,0.955671,1.08739,1.56775,2.27498,2.99154,3.18464,2.1895,1.70141,0.75131,0.320395,0.968636,1.46847,1.83166,1.97437,1.84011,1.82686,2.14691,1.95994,0.998228,0.941979,0.448716,0.650027,0.987063,0.902972,0.492259,0.847153,0.713133,0.444005,0.729698,1.2009,1.32314,1.10265,0.87331,0.615066,0.417755,0.599943,0.274174,0.253394,0.490134,0.58118,0.990717,1.59306,2.12998,2.49475,2.29749,2.05463,1.35993,0.605691,0.439462,0.741688,1.1548,1.33927,1.40203,1.24058,1.3555,1.82588,2.11871,1.96538,1.25581,0.51081,0.447442,0.540007,0.966022,1.03371,0.566269,0.467446,1.28639,0.942334,0.479502,0.791919,0.641634,0.92427,1.38979,1.54985,1.37566,0.970844,0.796762,0.68458,0.614496,0.578983,0.498017,0.583543,1.02553,1.42893,1.882,1.69975,1.78559,1.22442,1.82844,2.17752,2.1246,2.35415,2.6202,2.81878,2.94367,2.50212,1.91447,1.76923,1.88394,1.89588,0.728317,2.04951,1.86607,1.00281,1.2768,1.16589,1.34613,1.50928,2.49281,3.42485,3.60305,3.40266,3.17332,2.58094,2.13036,2.01098,2.0069,1.84092,1.76669,1.96672,2.06576,1.79881,1.5241,1.52372,1.82516,2.05936,1.47488,0.98848,0.871479,0.816083,1.21822,1.47425,1.71473,1.59917,1.25897,1.23591,1.63417,2.07838,2.16118,2.30869,2.70814,2.64439,2.3371,2.02211,1.5701,1.49148,1.62829,1.72415,1.26577,1.16184,1.33916,1.42091,1.84534,1.79238,1.6005,0.896552,0.538667,1.44865
1,1,3,1.5236,1.88487,1.77752,1.30731,1.30029,1.88419,2.58027,3.1496,2.98402,2.23928,1.74777,2.05352,2.32401,1.81706,1.63083,1.6548,1.53488,1.4682,1.4221,1.35089,1.36905,1.38105,1.33824,1.26529,1.16956,1.02541,0.951883,0.998308,1.15079,1.31299,1.77754,2.55676,3.20506,2.97697,2.42535,2.10302,2.36369,2.50267,2.31276,2.38924,2.37546,2.45638,2.40367,2.11964,1.5088,1.07778,1.14766,1.50771,1.9737,2.05801,1.53806,1.07826,1.06621,1.40152,1.92597,1.77652,1.00145,0.913281,1.40545,1.04821,1.03591,1.47758,1.71083,3.03755,3.12674,1.59605,1.15357,1.65949,1.98685,1.91832,1.62007,1.43779,1.39648,1.44918,1.45146,1.31637,1.3259,1.39461,1.39267,1.33496,1.26764,1.21315,1.11641,1.06118,1.00041,0.982341,1.10514,1.25056,1.73541,2.66545,3.23812,3.05178,2.74973,2.30807,2.32618,2.37468,2.25472,2.41837,2.54019,2.63774,2.56651,2.4218,2.22878,1.99281,1.77628,1.49338,1.14329,0.877135,0.824868,0.810284,0.8075,0.803926,0.886549,1.15663,1.54543,1.80831,1.78666,1.75303,1.46575,1.20391,1.34414,1.53429,1.3281,1.97451,1.56213,1.01973,1.05455,1.92503,1.28979,1.37835,1.04918,0.999871,1.09851,1.10175,1.07208,0.960771,0.91907,0.935301,1.03408,1.11274,1.18314,1.07011,1.01915,0.968015,0.965573,1.00652,0.99749,1.4647,2.5809,3.59193,4.16361,2.96665,1.92785,1.48266,0.99798,1.31159,1.8225,2.31794,2.25755,2.29844,2.64878,3.05467,2.44947,1.54805,1.36602,1.80015,1.46048,1.2584,1.53519,1.37248,1.19,2.54171,1.65355,1.48311,1.53681,0.954115,1.18769,1.00663,1.02289,0.984342
1,0,8,1.71907,1.72408,2.89886,1.86544,1.20325,1.12026,1.07912,1.21621,1.88861,2.4263,2.32735,2.38942,1.99985,1.65355,1.40885,1.44153,1.39061,1.50359,1.70319,1.99604,1.99546,1.95055,2.9786,4.86137,4.9187,3.01297,3.24984,1.75655,1.29017,1.2599,1.10762,1.42105,1.56989,1.57698,1.7674,1.76955,1.62697,1.55947,1.61243,1.88785,2.04633,2.6741,3.14572,1.98611,1.38377,1.21062,3.90165,1.12731,2.22086,1.21894,1.90648,2.1616,3.5574,3.30524,2.40297,2.34207,1.81848,1.58173,1.52513,1.29838,1.19955,1.2241,1.22522,1.40355,1.55151,1.45212,1.22124,1.07656,1.06614,1.05628,1.06275,1.13937,1.35915,1.80744,2.31106,2.57839,2.69797,2.57053,2.25992,1.96953,1.84086,1.87516,1.89784,1.81804,1.63397,1.46669,1.29895,1.16838,1.05753,1.02131,1.02741,1.15513,1.46513,1.99292,2.19809,1.90541,1.32709,1.34807,1.94124,2.57576,1.27926,1.21088,1.21323,1.52566,2.11718,2.31278,2.14691,1.85814,1.59696,1.24546,1.0312,0.998237,1.01409,1.00267,1.09189,1.31413,1.45143,1.42047,1.29282,1.15676,1.06498,1.04021,1.04474,1.04138,1.04554,1.1036,1.33393,1.80208,2.29967,2.56808,2.69008,2.62127,2.40303,2.22442,2.22859,2.17586,2.00908,1.83576,1.589,1.4363,1.34075,1.25474,1.22728,1.24142,1.13971,1.05988,1.19499,1.49775,1.73667,1.52813,1.22205,1.21213,1.06957,1.35079,1.90611,0.977977,1.07317,1.2783,1.70374,2.16781,2.48172,2.40575,1.86556,1.63526,1.39825,1.22222,1.16345,1.18264,1.14148,1.14306,1.24957,1.22691,1.2544,1.31252,1.34434,1.36182,1.34468,1.21673,1.10544,1.06153
1,1,9,1.4807,1.78434,1.97672,2.032,2.69502,3.59574,3.92472,3.57281,2.04678,1.76662,1.54813,3.48513,1.98458,1.64495,1.87698,1.96344,1.77882,1.7459,1.68016,1.97529,2.01677,1.95474,2.09521,2.05637,1.36257,1.44723,1.59431,1.23225,1.41383,2.11313,3.76238,4.51512,4.47822,3.90895,3.50804,2.32375,1.37124,1.25537,1.51722,2.11787,1.77595,1.96572,1.98871,1.5853,1.38351,1.28102,1.36982,1.62168,1.92215,2.34059,2.74261,2.49236,2.82136,1.2149,1.2016,1.12057,1.09857,1.76522,1.918,1.88868,2.77051,3.63362,3.12672,2.04446,1.44197,1.44261,3.74115,2.63321,1.38936,1.32115,1.21162,1.2,1.28196,1.31719,1.31664,1.31776,1.34715,1.35847,1.52983,1.58519,1.30403,1.09638,1.13967,1.17108,1.25424,1.29084,1.41333,2.38279,3.50785,4.2894,3.96049,3.48468,2.67795,1.3946,1.27417,2.153,3.1682,2.51559,1.77599,1.62159,1.53635,1.38129,1.19554,1.18458,1.37581,1.7422,2.01933,2.29459,2.40625,2.15107,1.49137,1.4049,1.52174,1.07692,1.42616,2.14246,1.82402,2.0982,2.07709,3.41372,4.0324,3.21765,1.72472,1.23487,2.3644,3.52542,1.55521,1.19825,1.22406,1.21165,1.42691,1.55429,1.45982,1.48271,1.68319,1.9893,1.94226,2.05233,2.0733,2.07285,1.60445,1.44107,2.3528,2.24959,2.58249,3.33398,3.83856,4.36111,4.30858,3.48141,2.0169,1.52288,1.83743,2.56357,2.74068,2.10515,1.9324,1.97424,1.73858,1.48092,1.3617,1.33368,1.58151,2.00856,2.36018,2.24546,1.59531,1.71726,1.78046,1.62919,1.28668,1.15647,1.91131,1.33145,2.59837,1.50863,1.50167,1.57037,1.86754,2.715
1,0,10,1.30303,2.21717,1.41358,1.10741,1.07404,1.25953,1.31401,1.291,1.20655,1.17942,1.07715,1.03202,1.04695,1.08674,1.12261,1.13452,1.14658,1.08646,1.07652,1.04345,0.997852,1.00118,1.06502,1.14751,1.3715,1.54425,1.71473,1.55109,1.30097,1.37403,1.45836,1.34078,1.13998,1.08429,1.0211,1.04717,1.09384,1.16759,1.23469,1.2779,1.30256,1.38216,1.45341,1.4288,1.52191,1.53834,1.30846,1.05007,1.00535,1.06077,1.16516,1.07812,1.1196,1.53897,1.51688,1.05806,1.15149,1.61509,1.48651,1.20651,1.06238,1.16858,1.38029,1.29502,1.22973,1.18606,1.13694,1.06028,1.04531,1.06892,1.14054,1.21687,1.2366,1.13855,1.12754,1.07044,1.05405,1.1592,1.28681,1.42004,1.64939,1.84676,1.64749,1.68177,1.40648,1.24405,1.14564,1.07782,1.04822,1.05768,1.15125,1.31047,1.34692,1.35108,1.37176,1.45947,1.57096,1.61846,1.4932,1.36207,1.10495,1.01158,1.09787,1.15288,1.01153,1.47411,1.44197,1.11778,1.2946,2.18655,1.33226,1.09046,1.04145,1.28825,1.38941,1.29627,1.20664,1.13743,1.1374,1.10817,1.0823,1.05504,1.07411,1.13776,1.19125,1.16734,1.08466,1.0604,1.14125,1.2323,1.37854,1.71776,1.74594,1.42512,1.57577,1.23712,1.09748,1.1056,1.01625,1.00919,1.0663,1.21899,1.40492,1.50783,1.55462,1.54303,1.49141,1.3255,1.30673,1.34669,1.30124,1.19457,1.08982,1.08666,1.10484,1.42798,1.47862,1.16967,1.17865,1.36571,1.78032,1.08273,1.01116,1.06029,1.3478,1.36371,1.28596,1.17887,1.15937,1.1214,1.06011,1.02785,1.03196,1.03698,1.05967,1.07126,1.04915,1.02164,1.00227,1.0086
1,0,11,1.04111,1.10006,1.38244,1.46558,1.34804,1.17581,1.28972,1.09341,1.20015,1.32318,1.10466,1.03485,0.979941,1.08247,1.21411,1.22924,1.3749,1.458,1.32946,1.17669,1.1278,1.17795,1.19033,1.12948,1.1503,1.09109,1.0876,1.16261,1.28511,1.22386,1.0733,1.15979,1.56572,1.41091,1.77418,1.60401,1.18011,1.34636,1.14734,1.54347,1.74332,1.27585,1.15243,1.35668,1.37862,1.10507,0.983513,1.10487,1.11969,1.06204,1.04158,1.08358,1.11188,1.05229,1.0338,1.10881,1.13206,1.14434,1.05435,1.1105,1.21518,1.30453,1.1412,1.2488,1.68166,1.40048,1.15579,1.21791,1.50783,1.78247,1.65623,1.29232,1.06,0.990961,1.05058,1.149,1.21843,1.26262,1.212,1.0374,1.00701,1.07349,1.12916,1.12365,1.07261,1.13042,1.15691,1.07272,1.01747,1.05253,1.07705,1.1149,1.33598,1.47837,1.70497,1.85015,1.61658,1.22349,1.20522,1.3392,1.46919,1.32849,1.00793,1.19891,1.68834,1.78796,1.24892,1.00298,1.24742,1.24127,1.19507,1.2233,1.31968,1.35757,1.38306,1.28847,1.14342,1.07205,1.11497,1.12107,1.00638,0.971395,0.996621,0.994136,0.977661,1.02737,1.22376,1.42443,1.54007,1.52282,1.59861,1.29421,1.34857,1.3454,1.38098,1.34573,1.20123,1.10386,1.12013,1.02221,1.00561,1.11668,1.14659,1.14986,1.05603,1.06992,1.20969,1.29988,1.35341,1.18285,1.17468,1.7453,2.16382,2.16302,1.38132,1.44588,1.61775,1.58064,1.31857,1.19616,1.29583,1.409,1.20369,1.04295,1.38219,1.67846,1.69045,1.36499,1.05701,1.08151,1.27353,1.34226,1.25034,1.22866,1.2403,1.26095,1.45182,1.46842,1.36491,1.3521
1,1,12,1.51516,1.49477,1.79866,1.7589,1.43434,2.00661,2.01268,2.08031,2.57685,1.64871,1.61185,1.82984,1.80614,1.53332,1.27881,1.38092,1.53474,1.71149,2.09267,2.67192,1.99548,1.47653,1.2136,1.13517,1.10233,1.18683,1.70264,2.64764,3.12895,3.01836,3.00221,3.79029,4.05967,3.43134,3.73203,3.37458,2.17681,2.58453,2.65433,2.12442,1.75251,1.33808,1.36468,1.51958,2.02784,2.5856,2.79345,2.31347,1.65097,1.25583,1.29095,1.10278,2.12866,2.17634,2.50934,1.58663,1.60484,2.06501,2.70924,3.21028,1.65955,2.21251,2.25486,2.32493,2.11229,1.75244,1.59071,1.61418,1.56143,1.72717,1.71901,1.67388,1.36745,1.17305,0.993209,1.01913,1.19476,1.50898,2.03578,2.37691,3.17272,3.2342,3.55782,3.66967,3.39867,3.45039,3.01188,2.7369,2.20817,2.00941,1.80583,1.60206,1.40088,1.4196,1.64861,2.12473,2.727,2.90762,2.49223,2.12398,1.43401,1.03777,1.09474,1.6818,1.69193,3.08789,1.72917,1.89184,2.43674,3.12828,1.96407,1.75221,1.94918,1.51209,1.75667,1.4653,1.18765,1.10955,1.03181,1.16404,1.16419,1.1456,1.1466,1.11009,1.06104,1.09286,1.12822,1.21809,1.4851,2.17045,2.85016,3.10015,3.08759,3.39955,3.94472,4.08623,3.60348,2.81641,2.0661,1.86141,1.58045,1.64129,1.64632,1.22143,1.02904,1.05194,1.29928,1.6882,1.95196,1.74443,1.58046,1.64419,1.12456,1.19744,1.01749,1.5318,2.35314,2.72994,2.40613,1.63676,2.04786,1.50389,1.73524,1.90878,2.17582,2.18539,1.89212,2.08209,2.00311,2.00177,1.58743,1.21843,1.23675,1.40002,1.58015,1.61704,1.54122,1.33733,1.20661,1.0433
1,1,13,1.82326,1.39752,1.05805,1.31175,2.07441,2.85463,3.67296,3.69367,3.22396,2.60912,2.23894,2.12906,1.3758,1.53713,1.76899,2.67043,3.48833,4.13337,3.58932,2.10561,0.977815,1.00851,1.74575,1.8429,1.32622,1.72896,1.1691,1.22401,1.64009,1.87875,2.14532,2.07801,1.90159,1.74646,1.76658,1.69611,1.46137,1.31568,1.33891,1.33806,1.39957,1.59351,2.03625,2.39688,3.26106,3.30038,3.04065,2.85254,2.54684,2.19671,1.68441,1.20013,0.94737,1.17931,1.5028,1.80621,2.12113,2.50972,2.82867,2.86214,2.39701,1.28907,1.9826,3.35777,2.80906,3.37902,2.30267,2.67696,1.98143,1.92484,2.78532,2.93322,2.62336,2.09562,1.6867,1.55106,1.5551,1.49592,1.34022,1.33446,1.26641,1.34092,1.48531,1.84248,2.35655,3.03237,3.88725,3.61662,3.08964,2.39342,2.06359,2.18842,2.54656,2.8624,2.56083,1.77413,1.46141,1.36265,1.35642,1.39685,1.66472,2.18809,2.56508,2.38237,1.68082,1.60972,1.84925,1.85487,2.17195,1.51857,1.32956,1.88411,2.75053,2.39113,2.33621,2.06829,1.89758,1.90755,1.71205,1.48047,1.37278,1.25975,1.11662,1.13351,1.15696,1.34341,1.58922,1.72061,1.75857,1.56083,1.18717,1.02944,1.04326,1.11573,1.21904,1.65153,2.5094,3.36397,3.50946,3.86225,3.96133,3.69047,2.92775,2.39766,2.26898,2.1632,2.11625,2.08747,1.843,1.49775,1.34784,1.1901,1.15928,1.27222,1.43932,1.64776,1.883,2.11478,2.28535,2.20776,1.67486,1.26017,1.71253,1.74684,1.74824,1.62309,1.47006,1.33696,1.43346,2.07693,1.91799,1.61897,1.55853,1.40246,1.24423,1.11743,1.04122,0.954126,0.939483,0.948835
1,1,14,1.15065,1.22058,1.27385,1.30055,1.31799,1.26703,1.124,0.999858,1.05941,1.13479,1.20548,1.43166,1.8418,2.44468,2.88397,2.90823,2.84771,2.31456,1.87697,1.70972,1.83305,1.95771,2.10782,2.07161,1.77444,1.48779,1.35428,1.303,1.27832,1.22823,1.098,1.04348,1.05406,1.11289,1.14301,1.157,1.211,1.30489,1.29718,1.25267,1.22278,1.13001,1.02605,0.9841,0.995386,0.996172,1.01735,1.27544,1.49899,1.3504,1.08451,1.26949,1.56563,1.39554,1.27743,1.13998,1.20155,1.77479,2.64577,1.69582,1.234,1.24048,1.71972,1.74185,1.69432,1.63646,1.33028,1.14359,1.0977,1.06702,1.0515,1.09055,1.24605,1.50082,1.83864,1.90327,1.48189,1.14205,1.09197,1.07418,1.08695,1.06881,1.01108,1.03375,1.29328,1.5376,1.66786,1.95441,2.06955,1.96035,2.22156,2.38775,2.10846,1.31507,1.05656,1.12889,1.10616,0.911746,0.964016,1.02379,1.06938,1.16208,1.24028,1.36153,1.54181,1.79445,2.02075,2.00737,1.87588,1.76194,1.74088,1.76306,1.64427,1.33792,1.11824,1.05826,0.995936,1.136,1.5299,1.10171,1.45313,1.3434,1.43225,2.21657,1.57373,1.15867,1.14346,1.07627,1.31549,1.87023,1.88899,1.35471,1.08142,1.11442,1.02454,1.02254,1.05741,1.17596,1.28844,1.44741,1.70808,1.73775,1.42291,1.25181,1.12383,1.18651,1.12651,1.12215,1.07748,1.17034,1.47794,1.65578,1.90923,2.07748,1.81426,1.66189,1.91532,2.10061,1.67619,1.12599,0.988246,1.02195,0.999853,0.98746,1.07947,1.1941,1.28418,1.39845,1.57644,1.91975,2.24769,2.3264,2.05998,1.71284,1.53611,1.33105,1.12029,1.02773,1.01462,1.00666
1,1,15,1.2489,1.27066,1.34729,1.49623,1.4778,1.52996,1.38378,1.2875,1.23097,1.18826,1.09241,1.0402,1.11732,1.51033,2.14509,2.74631,3.49182,4.13463,3.95838,3.27024,2.66452,1.52837,1.1924,1.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
